time,light,temp
1521494710439,88,78.12
1521494712081,59,78.12
1521494713722,79,78.24
1521494715365,76,78.35
1521494717007,78,78.69
1521494718649,76,78.80
1521494720291,76,79.02
1521494721934,78,79.25
1521494723575,80,79.36
1521494725217,79,79.36
1521494726859,70,79.36
1521494728501,55,79.47
1521494730142,57,79.47
1521494731784,84,79.36
1521494733427,84,79.36
1521494735069,84,79.36
1521494736710,84,79.36
1521494738352,84,79.25
1521494739994,85,79.25
1521494741636,85,79.25
1521494743277,84,79.25
1521494744920,84,79.25
1521494746561,85,79.25
1521494748203,85,79.14
1521494749845,85,79.14
1521494751487,85,79.14
1521494753130,85,79.02
1521494754771,85,79.02
1521494756413,85,78.91
1521494758055,85,78.91
1521494759698,85,78.91
1521494761339,85,78.91
1521494762981,85,78.91
1521494764623,85,78.80
1521494766265,85,78.80
1521494767906,85,78.80
1521494769549,85,78.80
1521494771191,85,78.80
1521494772833,85,78.69
1521494774474,85,78.69
1521494776116,85,78.69
1521494777759,85,78.57
1521494779401,85,78.57
1521494781042,85,78.57
1521494782684,86,78.57
1521494784327,86,78.57
1521494785969,85,78.57
1521494787610,86,78.46
1521494789252,86,78.46
1521494790895,86,78.46
1521494792537,86,78.46
1521494794178,86,78.46
1521494795820,85,78.35
1521494797463,86,78.35
1521494799105,85,78.35
1521494800746,86,78.35
1521494802388,86,78.35
1521494804031,86,78.35
1521494805673,86,78.24
1521494807314,86,78.24
1521494808961,85,78.24
1521494810599,83,78.24
1521494812241,83,78.24
1521494813882,82,78.24
1521494815525,80,78.24
1521494817167,81,78.12
1521494818808,81,78.12
1521494820450,81,78.12
1521494822093,81,78.12
1521494823735,81,78.12
1521494825377,81,78.12
1521494827020,81,78.12
1521494828661,82,78.12
1521494830303,82,78.12
1521494831945,82,78.12
1521494833588,82,78.12
1521494835229,82,78.12
1521494836871,82,78.01
1521494838513,88,78.01
1521494840154,86,78.01
1521494841797,86,78.01
1521494843439,87,78.01
1521494845081,86,78.01
1521494846724,86,78.01
1521494848366,87,77.90
1521494850007,87,77.90
1521494851649,86,77.90
1521494853292,87,77.79
1521494854934,87,77.79
1521494856576,87,77.79
1521494858217,87,77.79
1521494859861,86,77.79
1521494861502,87,77.79
1521494863144,87,77.68
1521494864786,87,77.68
1521494866428,87,77.68
1521494868071,87,77.68
1521494869712,87,77.68
1521494871355,87,77.68
1521494872996,87,77.68
1521494874639,87,77.68
1521494876281,87,77.56
1521494877923,87,77.56
1521494879565,87,77.56
1521494881206,88,77.56
1521494882850,88,77.56
1521494884491,84,77.56
1521494886133,84,77.56
1521494887775,84,77.56
1521494889418,84,77.56
1521494891060,84,77.56
1521494892702,84,77.45
1521494894343,84,77.45
1521494895987,84,77.45
1521494897628,88,77.45
1521494899270,89,77.45
1521494900912,88,77.45
1521494902555,89,77.45
1521494904196,89,77.34
1521494905839,89,77.45
1521494907480,88,77.34
1521494909123,89,77.45
1521494910765,89,77.45
1521494912407,89,77.45
1521494914050,88,77.34
1521494915692,88,77.34
1521494917333,68,77.34
1521494918975,68,77.34
1521494920617,68,77.34
1521494922260,68,77.34
1521494923902,68,77.34
1521494925544,68,77.34
1521494927186,76,77.34
1521494928827,76,77.34
1521494930471,76,77.34
1521494932112,76,77.34
1521494933754,76,77.34
1521494935396,76,77.22
1521494937039,76,77.34
1521494938681,76,77.22
1521494940323,76,77.22
1521494941965,76,77.22
1521494943607,76,77.22
1521494945248,76,77.22
1521494946891,76,77.22
1521494948533,76,77.22
1521494950175,76,77.22
1521494951818,76,77.22
1521494953460,76,77.22
1521494955102,76,77.11
1521494956744,83,77.22
1521494958386,84,77.11
1521494960028,84,77.11
1521494961670,84,77.22
1521494963313,84,77.11
1521494964955,84,77.11
1521494966597,84,77.11
1521494968239,84,77.11
1521494969881,84,77.11
1521494971523,83,77.11
1521494973165,83,77.11
1521494974807,84,77.11
1521494976450,84,77.11
1521494978092,83,77.11
1521494979734,84,77.11
1521494981376,84,77.11
1521494983018,84,77.22
1521494984660,84,77.11
1521494986302,84,77.11
1521494987945,84,77.11
1521494989587,83,77.11
1521494991229,83,77.11
1521494992871,83,77.11
1521494994513,83,77.11
1521494996155,83,77.11
1521494997798,82,77.11
1521494999440,82,77.11
1521495001082,82,77.11
1521495002724,82,77.11
1521495004366,82,77.11
1521495006008,82,77.11
1521495007651,81,77.11
1521495009293,81,77.11
1521495010935,81,77.11
1521495012577,81,77.11
1521495014219,81,77.11
1521495015861,81,77.11
1521495017504,80,77.11
1521495019146,80,77.11
1521495020788,80,77.11
1521495022430,80,77.11
1521495024072,80,77.00
1521495025714,80,77.11
1521495027356,80,77.11
1521495028999,80,77.00
1521495030641,80,77.00
1521495032283,80,77.00
1521495033925,80,77.00
1521495035567,80,77.00
1521495037209,80,77.00
1521495038852,80,77.00
1521495040494,80,77.00
1521495042136,80,77.00
1521495043778,80,77.00
1521495045420,80,77.00
1521495047062,80,77.00
1521495048705,80,77.00
1521495050347,80,77.00
1521495051989,80,76.89
1521495053631,80,76.89
1521495055273,81,76.89
1521495056915,81,76.89
1521495058557,81,76.89
1521495060200,81,77.00
1521495061842,81,76.89
1521495063484,81,76.89
1521495065126,81,76.89
1521495066768,81,76.89
1521495068410,81,76.89
1521495070053,80,76.89
1521495071695,80,76.89
1521495073337,80,76.89
1521495074979,80,76.89
1521495076621,80,76.89
1521495078263,80,76.89
1521495079906,80,76.89
1521495081548,80,76.89
1521495083190,80,76.77
1521495084832,80,76.77
1521495086474,80,76.77
1521495088116,80,76.89
1521495089759,80,76.77
1521495091401,80,76.77
1521495093043,80,76.77
1521495094685,80,76.77
1521495096327,80,76.77
1521495097969,80,76.77
1521495099611,80,76.77
1521495101254,80,76.77
1521495102896,80,76.77
1521495104538,80,76.77
1521495106180,80,76.77
1521495107822,81,76.77
1521495109464,80,76.77
1521495111106,81,76.77
1521495112749,81,76.77
1521495114391,81,76.77
1521495116033,81,76.77
1521495117675,81,76.77
1521495119317,81,76.77
1521495120959,81,76.77
1521495122602,81,76.77
1521495124244,81,76.77
1521495125886,81,76.77
1521495127528,82,76.77
1521495129170,82,76.77
1521495130812,82,76.77
1521495132455,82,76.77
1521495134097,82,76.66
1521495135739,82,76.77
1521495137381,82,76.77
1521495139023,82,76.66
1521495140665,82,76.77
1521495142308,82,76.77
1521495143950,82,76.77
1521495145592,82,76.77
1521495147234,82,76.77
1521495148876,82,76.77
1521495150518,82,76.77
1521495152171,82,76.77
1521495153803,82,76.77
1521495155445,82,76.77
1521495157087,82,76.77
